1938,61,1999
1924,22,1946
1938,47,1985
1960,34,1994
1977,71,2048
1999,46,2045
1959,59,2018
1960,26,1986
1937,48,1985
1921,17,1938
1961,3,1964
1905,13,1918
1979,67,2046
1909,93,2002
1946,100,2046
1956,16,1972
1915,6,1921
1904,40,1944
1948,9,1957
1904,96,2000
1958,96,2054
1905,40,1945
1983,18,2001
1982,66,2048
1956,44,2000
1961,84,2045
1976,67,2043
1939,5,1944
1963,56,2019
1974,41,2015
1906,71,1977
1952,25,1977
1945,26,1971
1901,44,1945
1990,64,2054
1999,46,2045
1964,23,1987
1957,47,2004
1997,48,2045
1946,98,2044
1926,59,1985
1980,36,2016
1934,92,2026
1939,49,1988
1906,92,1998
1932,59,1991
1941,87,2028
1936,63,1999
1954,16,1970
1922,62,1984
